OrderID,OrderDate,CustomerID,CustomerSegment,Region,ProductCategory,ProductName,Quantity,UnitPrice,TotalAmount,OrderStatus
10001,2024-01-01,2102,Home Office,East,Electronics,Chair,7,5441.79,38092.53,Completed
10002,2024-01-02,2435,Corporate,East,Electronics,Printer,8,34280.64,274245.12,Completed
10003,2024-01-03,2860,Corporate,North,Electronics,Mobile Phone,2,4638.95,9277.9,Returned
10004,2024-01-04,2270,Home Office,East,Office Supplies,Laptop,5,48258.23,241291.15000000002,Completed
10005,2024-01-05,2106,Corporate,East,Office Supplies,Chair,1,24445.29,24445.29,Completed
10006,2024-01-06,2071,Home Office,West,Furniture,Monitor,7,7576.27,53033.89,Returned
10007,2024-01-07,2700,Corporate,East,Furniture,Monitor,8,17152.06,137216.48,Completed
10008,2024-01-08,2020,Home Office,East,Furniture,Mobile Phone,6,20700.15,124200.90000000001,Completed
10009,2024-01-09,2614,Home Office,South,Electronics,Mobile Phone,5,37921.34,189606.69999999998,Completed
10010,2024-01-10,2121,Corporate,West,Electronics,Chair,6,37184.02,223104.12,Returned
10011,2024-01-11,2466,Corporate,West,Office Supplies,Printer,2,30616.43,61232.86,Completed
10012,2024-01-12,2214,Corporate,West,Electronics,Pen Set,1,5341.24,5341.24,Completed
10013,2024-01-13,2330,Consumer,West,Electronics,Monitor,7,7620.89,53346.23,Completed
10014,2024-01-14,2458,Consumer,West,Electronics,Monitor,7,4733.16,33132.119999999995,Completed
10015,2024-01-15,2087,Consumer,West,Furniture,Mobile Phone,2,28879.78,57759.56,Completed
10016,2024-01-16,2372,Home Office,North,Furniture,Desk,2,43863.07,87726.14,Completed
10017,2024-01-17,2099,Corporate,East,Office Supplies,Mobile Phone,1,21718.34,21718.34,Completed
10018,2024-01-18,2871,Home Office,West,Electronics,Pen Set,8,8084.37,64674.96,Returned
10019,2024-01-19,2663,Consumer,East,Electronics,Printer,8,27924.21,223393.68,Completed
10020,2024-01-20,2130,Corporate,East,Office Supplies,Printer,1,40597.02,40597.02,Completed
10021,2024-01-21,2661,Home Office,North,Electronics,Desk,8,37098.52,296788.16,Completed
10022,2024-01-22,2308,Corporate,West,Electronics,Monitor,9,44078.47,396706.23,Completed
10023,2024-01-23,2769,Home Office,South,Furniture,Mobile Phone,4,13931.21,55724.84,Completed
10024,2024-01-24,2343,Corporate,North,Office Supplies,Printer,1,9738.0,9738.0,Completed
10025,2024-01-25,2491,Consumer,South,Office Supplies,Pen Set,1,43996.83,43996.83,Completed
10026,2024-01-26,2413,Consumer,East,Office Supplies,Chair,3,32895.14,98685.42,Completed
10027,2024-01-27,2805,Corporate,East,Office Supplies,Laptop,5,15580.9,77904.5,Completed
10028,2024-01-28,2385,Home Office,North,Furniture,Laptop,5,37130.29,185651.45,Completed
10029,2024-01-29,2191,Consumer,North,Furniture,Laptop,9,40765.16,366886.44000000006,Cancelled
10030,2024-01-30,2955,Consumer,South,Electronics,Monitor,2,30768.16,61536.32,Completed
10031,2024-01-31,2276,Consumer,West,Electronics,Mobile Phone,2,34409.81,68819.62,Completed
10032,2024-02-01,2160,Corporate,South,Electronics,Desk,6,18794.23,112765.38,Completed
10033,2024-02-02,2459,Corporate,North,Electronics,Printer,9,26957.85,242620.65,Completed
10034,2024-02-03,2313,Home Office,South,Furniture,Chair,1,26231.75,26231.75,Completed
10035,2024-02-04,2021,Home Office,North,Office Supplies,Pen Set,9,42409.99,381689.91,Completed
10036,2024-02-05,2252,Home Office,South,Furniture,Chair,9,42006.2,378055.8,Completed
10037,2024-02-06,2747,Corporate,North,Electronics,Pen Set,9,41642.39,374781.51,Completed
10038,2024-02-07,2856,Corporate,North,Furniture,Monitor,5,601.03,3005.1499999999996,Returned
10039,2024-02-08,2560,Home Office,North,Office Supplies,Mobile Phone,9,37489.8,337408.2,Completed
10040,2024-02-09,2474,Home Office,West,Office Supplies,Laptop,4,37945.89,151783.56,Returned
10041,2024-02-10,2058,Corporate,South,Furniture,Mobile Phone,2,33935.02,67870.04,Completed
10042,2024-02-11,2510,Home Office,South,Furniture,Monitor,6,37825.42,226952.52,Completed
10043,2024-02-12,2681,Consumer,South,Furniture,Desk,4,42106.42,168425.68,Completed
10044,2024-02-13,2475,Corporate,North,Electronics,Desk,6,23542.44,141254.63999999998,Completed
10045,2024-02-14,2699,Home Office,South,Furniture,Monitor,3,25127.41,75382.23,Cancelled
10046,2024-02-15,2975,Corporate,South,Furniture,Pen Set,6,6279.47,37676.82,Completed
10047,2024-02-16,2782,Consumer,North,Furniture,Printer,2,19299.53,38599.06,Cancelled
10048,2024-02-17,2189,Corporate,East,Office Supplies,Printer,2,32186.09,64372.18,Completed
